INDICATIVO	NOMBRE	PROVINCIA	MUNICIPIO	ALTITUD	LONGITUD	LATITUD	n_llu_m01	n_llu_m02	n_llu_m03	n_llu_m04	n_llu_m05	n_llu_m06	n_llu_m07	n_llu_m08	n_llu_m09	n_llu_m10	n_llu_m11	n_llu_m12	n_llu_anual	n_nub_m01	n_nub_m02	n_nub_m03	n_nub_m04	n_nub_m05	n_nub_m06	n_nub_m07	n_nub_m08	n_nub_m09	n_nub_m10	n_nub_m11	n_nub_m12	n_nub_anual	n_nie_m01	n_nie_m02	n_nie_m03	n_nie_m04	n_nie_m05	n_nie_m06	n_nie_m07	n_nie_m08	n_nie_m09	n_nie_m10	n_nie_m11	n_nie_m12	n_nie_anual	n_gra_m01	n_gra_m02	n_gra_m03	n_gra_m04	n_gra_m05	n_gra_m06	n_gra_m07	n_gra_m08	n_gra_m09	n_gra_m10	n_gra_m11	n_gra_m12	n_gra_anual	n_fog_m01	n_fog_m02	n_fog_m03	n_fog_m04	n_fog_m05	n_fog_m06	n_fog_m07	n_fog_m08	n_fog_m09	n_fog_m10	n_fog_m11	n_fog_m12	n_fog_anual	n_des_m01	n_des_m02	n_des_m03	n_des_m04	n_des_m05	n_des_m06	n_des_m07	n_des_m08	n_des_m09	n_des_m10	n_des_m11	n_des_m12	n_des_anual	n_cub_m01	n_cub_m02	n_cub_m03	n_cub_m04	n_cub_m05	n_cub_m06	n_cub_m07	n_cub_m08	n_cub_m09	n_cub_m10	n_cub_m11	n_cub_m12	n_cub_anual	n_tor_m01	n_tor_m02	n_tor_m03	n_tor_m04	n_tor_m05	n_tor_m06	n_tor_m07	n_tor_m08	n_tor_m09	n_tor_m10	n_tor_m11	n_tor_m12	n_tor_anual	nt_00_m01	nt_00_m02	nt_00_m03	nt_00_m04	nt_00_m05	nt_00_m06	nt_00_m07	nt_00_m08	nt_00_m09	nt_00_m10	nt_00_m11	nt_00_m12	nt_00_anual	nt_30_m01	nt_30_m02	nt_30_m03	nt_30_m04	nt_30_m05	nt_30_m06	nt_30_m07	nt_30_m08	nt_30_m09	nt_30_m10	nt_30_m11	nt_30_m12	nt_30_anual	nw_55_m01	nw_55_m02	nw_55_m03	nw_55_m04	nw_55_m05	nw_55_m06	nw_55_m07	nw_55_m08	nw_55_m09	nw_55_m10	nw_55_m11	nw_55_m12	nw_55_anual	nw_91_m01	nw_91_m02	nw_91_m03	nw_91_m04	nw_91_m05	nw_91_m06	nw_91_m07	nw_91_m08	nw_91_m09	nw_91_m10	nw_91_m11	nw_91_m12	nw_91_anual	ta_max_m01	ta_max_m02	ta_max_m03	ta_max_m04	ta_max_m05	ta_max_m06	ta_max_m07	ta_max_m08	ta_max_m09	ta_max_m10	ta_max_m11	ta_max_m12	ta_max_anual	ta_min_m01	ta_min_m02	ta_min_m03	ta_min_m04	ta_min_m05	ta_min_m06	ta_min_m07	ta_min_m08	ta_min_m09	ta_min_m10	ta_min_m11	ta_min_m12	ta_min_anual	w_med_m01	w_med_m02	w_med_m03	w_med_m04	w_med_m05	w_med_m06	w_med_m07	w_med_m08	w_med_m09	w_med_m10	w_med_m11	w_med_m12	w_med_anual
1495	VIGO/PEINADOR	PONTEVEDRA	REDONDELA	261	837262	421419	15	8	13	17	8	13	8	9	14	19	29	19	172	6	17	8	19	11	15	16	16	14	14	7	10	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	4	10	8	4	8	4	5	9	14	11	19	22	0	114	15	6	13	1	14	4	10	7	9	4	0	6	89	10	5	10	10	6	11	5	8	7	13	23	15	123	0	1	0	2	0	0	1	0	1	0	1	0	6	0	0	0		0	0	0	0	0	0	0	3		0	0	0		2	1	4	1	6	0	0	0		3		3		2		0	1		0	11	6		0		0		0		0	0		0	0	1		15.3(01)	23.3(26)	25.0(24)		33.1(31)	30.7(01)	35.0(12)	32.3(22)	34.1(13)	23.3(07)	18.1(01)	20.0(29)		0.4(12)	1.0(03)	2.7(15)		5.5(19)	7.7(12)	11.3(31)	10.9(13)	9.8(28)	6.0(22)	2.7(16)	-2.0(04)		12	12	13	14	15	14	13	13	12	12	13	14	13
2867	SALAMANCA/MATACAN	SALAMANCA	CALVARRASA_DE_ABAJO	790	529542	405734	6	2	4	15	4	5	5	5	7	12	20	11	96	11	18	18	18	16	23	17	17	14	19	13	14	198	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	8	2	3	3	0	1	0	0	3	3	2	9	34	10	7	10	2	11	6	14	10	10	2	0	1	83	10	3	3	10	4	1	0	4	6	10	17	16	84	0	0	0	3	0	1	3	3	2	1	0	0	13	23	23	20	5	0	0	0	0	0	2	5	14	92	0	0	0	0	2	10	23	20	3	0	0	0	58			3	8			1		2		13	9				0	1			0		0		0	4		15.5(24)	22.7(26)	23.1(16)	24.9(30)	31.7(31)	39.4(28)	38.1(12)	34.8(24)	31.5(04)	29.7(08)	19.9(01)	15.8(24)	39.4(28/jun)	-8.4(05)	-5.8(04)	-3.7(01)	-4.8(04)	1.5(18)	3.4(06)	7.5(30)	7.0(12)	5.1(27)	-0.5(21)	-3.7(16)	-5.7(31)	-8.4(05/ene)		8	13	16	16	15	12	10	11	11	21	16	
2870	SALAMANCA_OBS	SALAMANCA	SALAMANCA	775	539442	405727																																																																																																									22	10	3	1	0			0	0	0	1	6		0	0	0	0	3			20	2	0	0	0		2	1	1	4	2			0	0	1	5	4		0	0	0	0	0			0	0	0	0	1		16.5(26)	22.2(26)	23.4(16)	26.0(30)	32.5(31)			34.9(30)	32.2(04)	29.2(07)	19.7(01)	16.9(24)		-5.4(07)	-3.0(04)	0.0(01)	-0.6(04)	4.4(18)			11.3(13)	9.0(07)	2.6(21)	-0.7(16)	-2.5(31)		7	5	7	9	8			7	6	6	11	8	
C929I	HIERRO/AEROPUERTO	SANTA_CRUZ_DE_TENERIFE	VALVERDE	32	1753202	274908	5	5	9	6	0	5	1	0	2	7	7	5	52	25	17	29	29	30	18	29	29	25	27	28	23	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	2	1	1	12	1	1	5	3	1	7	50	0	1	0	0	0	0	1	1	0	1	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0				7	10		4				0		13				0	0		0				0		0			23.6(01)	26.6(12)	23.4(26)	22.9(15)	24.7(16)	27.4(23)	26.1(14)	27.6(10)	27.1(22)	29.2(27)	25.1(01)			15.4(15)	14.6(22)	14.3(25)	13.4(02)	18.1(05)	17.4(16)	20.7(11)	21.5(01)	21.2(21)	18.5(25)	18.1(21)			22	23	26		25	22		24	23		27		
C430E	IZA—A	SANTA_CRUZ_DE_TENERIFE	LA_OROTAVA	2371	1629582	281832	2	3	3	4	0	0	0	2	1	4	4	0	23														2	1	4	1	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	1	0	1	2	7	6	11	11	0	0	0	0	1	6	13	9	64														6	2	4	2	2	3	2	1	2	3	9	5	41	0	0	0	0	0	0	0	0	1	1	0	0	2	6	5	10	8	0	0	0	0	0	1	2	6	38	0	0	0	0	0	0	0	0	0	0	0	0	0	7		7	15	8	10	7	6	17	13	18	19		1		0	4	0	0	0	1	0	2	1	4		13.7(28)	14.7(25)	15.4(22)	18.0(16)	20.2(09)	21.6(01)	26.8(26)	27.9(22)	24.2(15)	24.6(01)	16.8(25)	14.9(21)	27.9(22/ago)	-2.9(22)	-2.2(15)	-2.3(30)	-4.2(06)	3.4(02)	5.7(13)	5.2(11)	8.3(05)	8.4(09)	0.0(21)	-1.4(15)	-1.4(05)	-4.2(06/abr)	24		20	28	21	25	20	20	26	24	30	34	
C139E	LA_PALMA/AEROPUERTO	SANTA_CRUZ_DE_TENERIFE	BRE—A_BAJA	33	1745182	283759	13	4	9	5	1	6	4	1	5	10	13	10	81	22	17	24	26	24	22	27	22	25	25	19	20	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	3	2	5	5	2	8	3	3	2	6	51														0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0			0	0	0	0	0		0		0	0	0			0	0	1	0	0		0		4	3	4					1	0	0		7		0	0	0					0	0	0		0		26.1(13)	28.3(23)	22.7(26)			27.4(24)	26.7(20)	30.5(17)	27.2(08)	28.9(27)		29.0(29)		13.8(22)	14.0(10)	13.5(30)			16.9(16)	19.0(25)	21.0(01)	19.3(10)	17.0(25)		15.3(17)		16	16	20		22		26	23	19	16		17	
C449C	STA.CRUZ_DE_TENERIFE	SANTA_CRUZ_DE_TENERIFE	SANTA_CRUZ_DE_TENERIFE	35	1615192	282748	9	4	10	10	2	8	2	0	1	5	9	8	68	20	16	20		14						21		91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	7		17						4			5	0	4		0						5			0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	11	1	2	1	0	22		2	2	1		0		0	0	1		2			0	0	0		0		0	0	0		0		24.2(01)	27.6(13)	25.2(16)	27.6(30)	30.9(27)	33.0(03)	34.4(24)	33.7(16)	31.8(30)	31.8(01)	30.4(02)	27.1(24)	34.4(24/jul)	13.8(10)	13.7(10)	14.5(15)	15.0(07)	16.0(06)	17.3(16)	20.2(05)	20.4(01)	20.6(18)	18.2(23)	17.0(17)	15.4(31)	13.7(10/feb)	11	10	11	12	12	11		11	11	9	10	10	
C447A	TENERIFE/LOS_RODEOS	SANTA_CRUZ_DE_TENERIFE	SAN_CRIST”BAL_DE_LA_LAGUNA	632	1619462	282839	14	6	16	15	11	10	9	4	3	8	19	17	132	20		24	21	20		24	23		21	16	23	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	4	5	7	6	4	2	4	1	2	42	3		2	1	5		3	8		5	0	2		8		5	8	6		4	0		5	14	6		0	0	0	0	0	0	0	0	1	1	0	0	2		0		0		0	0	0	0	0	0	0			0		0		2	0	7	1	3	0	0			4		9		7	15	5		1	6				0		0		0	0	0		0	0				24.6(13)		22.1(14)		33.0(02)	27.8(25)	36.4(24)	33.7(30)	33.9(01)	29.0(02)	23.6(25)			7.9(17)		8.7(07)		10.8(16)	14.5(12)	14.7(08)	14.1(21)	11.6(25)	10.1(20)	9.3(19)		18	17		24	24	21	31	24	22	17		17	
C429I	TENERIFE/SUR	SANTA_CRUZ_DE_TENERIFE	GRANADILLA_DE_ABONA	64	1633402	280249	2	1	3	2	0	0	0	0	3	4	2	0	17	26	10	19	26	17	22	16	9	16	17	20	19	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	11	2	11	5	15	21	13	12	9	11	132	1	0	1	2	3	3	0	1	1	2	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	1	1	8	2	3	2			4	5	12	5	9		17		8		15			0	0	0	0	0		0		0		0			24.5(13)	29.1(11)	26.8(10)	25.6(30)	28.8(24)	32.2(03)	32.2(25)	36.4(17)	30.6(30)	35.3(02)	31.1(02)			12.9(26)	12.0(10)	12.4(26)	12.5(04)	14.9(06)	16.1(07)	17.8(25)	18.5(15)	18.6(20)	16.7(25)	14.9(19)			21	20	24	18	21	20	27	28	24	22	28	20	23
2465	SEGOVIA	SEGOVIA	SEGOVIA	1005	407352	405643	8	1	6	14	7	7	8	7	11	15	24	13	121														4	2	0	1	0	0	0	0	0	0	3	0	10	0	0	0	3	0	0	2	1	0	0	0	0	6	4	0	0	1	0	0	0	0	0	0	2	4	11	16	8	13	8	15	14	21	25	13	8	2	7	150														0	0	0	2	1	0	6	4	3	1	0	0	17	18	4	5	1	0	0	0	0	0	0	2	1	31	0	0	0	0	0	10	21	16	1	0	0	0	48	2		2		2	8	3	0	2	3	9			0		0		0	1	0	0	0	0	0			13.8(26)	20.8(27)	22.0(16)	22.0(30)	29.8(31)	38.1(29)	36.4(22)	34.2(17)	30.4(04)	28.2(08)	16.9(01)	17.6(25)	38.1(29/jun)	-6.3(11)	-3.5(03)	-2.1(26)	-3.5(04)	2.4(04)	3.5(12)	9.4(28)	8.4(12)	6.0(06)	2.6(22)	-0.3(15)	-0.2(03)	-6.3(11/ene)	9	9	10	12	11	14	12	10	9	9	16	12	11
5796	MOR”N_DE_LA_FRONTERA	SEVILLA	ARAHAL	87	536412	370952	4	3	5	13	0	1	1	1	7	3	17	7	62	11	19	16	15	15	16	9	6	13	21	18	17	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	3	1	3	1	0	0	0	0	1	2	4	5	20	15	16	13	9	18	17	16	24	14	13	4	6	165	4	1	2	7	1	0	1	0	4	2	10	7	39	0	0	1	2	0	0	0	0	3	1	1	0	8	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	16	25	31	21	11	0	0	118	0	1	1	1	0	0	0	0	1	1		4		0	0	0	0	0	0	0	0	0	0		0		19.9(25)	24.2(26)	26.7(15)	29.9(30)	35.1(28)	36.3(02)	39.2(11)	39.7(17)	37.7(03)	33.8(08)	25.6(01)	23.7(27)	39.7(17/ago)	-2.0(08)	0.2(03)	3.4(15)	3.9(04)	10.2(18)	10.9(06)	14.2(05)	14.9(13)	12.8(24)	7.0(16)	0.6(16)	1.8(12)	-2.0(08/ene)	7	5	8	9	9	8	9	6	6	5	9	9	8
5783	SEVILLA/SAN_PABLO	SEVILLA	SEVILLA	34	552452	372500	4	1	2	13	1	0	0	0	4	4	14	7	50	13	11	17	17	12	13	14	7	14	16	18	19	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	2	0	0	0	0	1	1	2	3	20														3	1	1	4	1	0	1	0	2	2	8	6	29	0	0	0	3	0	0	0	0	2	2	0	1	8	0	0	0	0	0	0			0	0	0	0		0	0	0	2	19	22			23	12	0	0		1		2			0			1	2				0		0			0			0	0				21.2(26)	24.6(26)	28.1(11)	30.8(30)	36.5(28)	37.6(02)			37.6(03)	35.5(07)	27.9(01)	21.9(27)		0.5(06)	1.4(03)	4.4(07)	6.9(11)	11.4(18)	12.5(15)			14.7(24)	8.9(24)	1.3(16)	4.2(12)		10	10	13	13	15	15		13	11	10	13	14	
2030	SORIA	SORIA	SORIA	1082	228592	414630	5	1		14	8	8	11	6	8	10	20	10															5	3		6	0	0	0	0	0	0	5	0		0	0		0	0	0	1	0	0	0	0	0		0	2		3	0	0	0	0	0	1	3	4																												0	0		2	2	0	10	4	5	1	1	0		21	21	11	2	1	0	0	0	0	0	6	12	74	0	0	0	0	0	10	18	18	0	0	0	0	46	4	1	2		2	0	0	0	1	1	4	5		0	0	0		0	0	0	0	0	0	0	1		17.0(04)	21.8(23)	23.2(16)	22.0(29)	28.6(31)	37.9(29)	35.9(12)	34.2(17)	29.5(03)	28.5(08)	16.3(01)	20.0(28)	37.9(29/jun)	-5.3(15)	-4.6(04)	-3.1(22)	-2.7(04)	-0.7(06)	2.1(08)	9.2(28)	9.4(22)	6.7(23)	1.5(21)	-2.8(16)	-3.2(03)	-5.3(15/ene)	10	7	10	11	12	10	9	8	10	8	13	10	10
0016A	REUS/AEROPUERTO	TARRAGONA	REUS	71	109491	410842	5	1	2	10	10	3	8	4	7	8	6	8	72	17	18	20	23	18	18	13	18	21	25	27	21	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	12	10	8	1	6	10	15	11	6	4	2	5	90	2	0	3	6	7	2	3	2	3	2	1	5	36	0	0	0	2	0	0	1	3	2	2	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	29	26	3	0	0	0	64		5	5					1	2			10			0	0					0	0			3		19.4(06)	24.0(22)	26.3(17)	24.4(27)	28.5(12)	36.1(29)	33.9(07)	33.9(09)	31.7(18)	28.5(07)	25.9(02)	20.2(25)	36.1(29/jun)	-2.7(11)	0.6(13)	2.8(08)	5.1(07)	5.5(06)	9.0(12)	18.6(10)	15.5(14)	13.7(07)	8.3(24)	0.3(16)	0.7(31)	-2.7(11/ene)	16	10	13	16	14	13	13	12	12	11	17	14	13
9981A	TORTOSA	TARRAGONA	ROQUETES	50	29361	404913	6	1	2	13	10	4	6	6	9	4	9	9	79	19	13	20	19	21	18	14	16	21	21	27	17	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	5	10	15	8	2	6	10	15	12	5	6	3	6	98	2	0	3	9	4	2	2	3	4	4	0	8	41	1	1	0	2	0	0	6	2	2	1	1	0	16	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	30	29	23	4	0	0	105	14	4	8	6	8	1	6	0		5	13	9		2	1	0	0	0	0	0	0		0	2	4		20.0(26)	27.2(27)	28.6(10)	28.9(14)	29.6(10)	42.4(29)	39.8(07)	39.2(09)	33.9(17)	30.7(01)	28.3(02)	23.3(24)	42.4(29/jun)	1.1(04)	-0.1(17)	4.4(12)	6.3(04)	10.3(06)	12.3(12)	16.7(09)	17.9(28)	13.9(11)	10.7(26)	2.6(20)	2.8(28)	-0.1(17/feb)	15	10	10	11	13	11	12	10		9	12	11	
9381I	CALAMOCHA	TERUEL	CALAMOCHA	890	117362	405534	6	1		15			8	4	10	6	16	8		17	14				20	25	15					91	3	3		3			0	0	0	1	3	0		0	0		1			2	1	0	0	2	3		0	3		0			0	0	1	2	0	1		10	14				8	6	15						4	0				2	0	1						0	0		5			8	4	4	1	1	0		23	23	19	3	1	0	0	0	0	0	5	13	87	0	0	0	0	0	16	24	23	3	0	0	0	66	4	3		3	3	1	0	2	1	0	5			0	0		0	0	0	0	0	0	0	0			14.8(26)	23.0(27)	26.0(16)	23.2(15)	29.5(16)	39.5(29)	37.4(23)	37.0(05)	31.0(30)	29.4(08)	21.2(01)	17.6(21)	39.5(29/jun)	-8.1(05)	-5.5(17)	-5.2(21)	-2.1(13)	-1.7(06)	0.9(12)	9.5(28)	8.2(14)	4.7(06)	2.2(17)	-3.6(19)	-6.0(28)	-8.1(05/ene)	7	8	9	10	9	11	9	8	8	7	9	8	9
8368U	TERUEL	TERUEL	TERUEL	900	107272	402102	6	1	3	16	6	5	3	2	9	4	8	8	71														0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	3	1	0	0	1	2	3	2	6	22	17	16	10	2	8	12	18	17	4	9	4	2	119														0	0	0	0	3	0	6	2	7	0	0	0	18	24	25	21	2	1	0	0	0	0	0	6	17	96	0	0	0	0	0	17	26	23	5	0	0	0	71	2	3	1	0	1	0	0	0	0	0	1	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7(15)	23.0(27)	25.9(16)	23.6(29)	29.8(31)	38.8(29)	39.4(12)	37.7(17)	33.7(01)	29.2(01)	21.2(01)	19.0(21)	39.4(12/jul)	-9.4(11)	-5.6(17)	-4.1(21)	-1.7(04)	-0.4(06)	0.7(12)	11.2(29)	10.8(22)	7.4(06)	0.9(17)	-4.1(17)	-6.7(28)	-9.4(11/ene)	7	7	7	8	8	8	7	7	6	5	8	7	7
3260B	TOLEDO	TOLEDO	TOLEDO	515	402432	395305																																																																																																									21	5	0		0	0	0	0			1	3		0	0	0		9	20	30	29			0	0		5	3	2		1	1	2	1			9	6		0	1	0		0	0	0	0			0	1		19.0(25)	23.7(26)	27.4(16)		34.9(15)	41.9(29)	41.0(12)	39.0(17)			22.7(01)	19.1(21)		-4.4(07)	-2.9(04)	0.9(14)		6.9(04)	9.6(12)	15.6(09)	15.5(12)			0.0(19)	-1.2(31)		10	11	12		14	14	13	13		9	15	11	
8416	VALENCIA	VALENCIA	VAL»NCIA	11	21592	392850	2	0	4	14	11	0	4	4	6	5	5	4	59														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	20	19	3	2	1	0	52																											21.8(25)	25.4(27)	29.8(17)	30.4(14)	32.5(10)	35.5(29)	37.8(07)	41.4(09)	34.5(24)	35.0(01)	30.1(01)	25.3(21)	41.4(09/ago)	1.7(11)	4.0(17)	7.1(29)	9.3(05)	9.0(04)	13.2(12)	21.3(03)	18.8(27)	15.6(11)	12.0(24)	6.0(19)	5.8(31)	1.7(11/ene)	14	13	13	17	16	15	15	15	14	11	19	13	15
8414A	VALENCIA/AEROPUERTO	VALENCIA	MANISES	56	28292	392906	2	0	4	15	10	0	5	4	10	7	5	5	67	13	12	19	21	20	18	13	11	21	18	23	21	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1														1	0	2	7	3	0	0	3	5	4	3	8	36	0	0	1	3	2	0	3	2	4	1	0	1	17	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	8	29	26	8	3	0	0	76		4			2		1	3	3	0	16	7			1			0		0	0	0	0	0	3		21.0(26)	27.3(27)	29.6(17)	30.5(14)	32.7(10)	37.6(29)	38.3(07)	42.4(09)	35.0(24)	35.3(01)	29.5(01)	24.7(21)	42.4(09/ago)	-1.7(11)	0.3(04)	3.3(28)	6.7(05)	6.9(04)	11.0(12)	19.5(03)	17.1(22)	15.1(11)	9.1(24)	1.6(19)	2.1(28)	-1.7(11/ene)													
2422	VALLADOLID	VALLADOLID	VALLADOLID	735	445162	413827	5	3	5	14	6	6	10	5	6	14	26	12	112	16	18	18	22	20	23	20	18	17	20	18	15	225	2	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	1	1	1	0	5	4	0	1	2	1	0	0	0	1	4	0	11	24	6	8	11	2	9	6	10	12	10	3	0	0	77	9	2	2	6	2	1	1	1	3	8	12	16	63	0	0	0	2	0	0	5	2	2	1	1	0	13	20	12	2	1	0	0	0	0	0	0	2	6	43	0	0	0	0	2	12	23	20	2	0	0	0	59	1	1	1	4	1		1		1	0	4			0	0	0	0	0		0		0	0	0			15.7(24)	21.8(26)	23.0(16)	24.0(29)	31.6(31)	39.8(28)	38.7(22)	35.3(03)	31.2(04)	28.9(08)	18.9(01)	15.9(21)	39.8(28/jun)	-5.5(05)	-3.6(04)	-0.8(14)	-1.0(04)	3.7(06)	6.0(08)	10.8(28)	9.7(12)	9.1(23)	4.1(21)	-1.1(19)	-1.5(29)	-5.5(05/ene)	7	5	7	9	8	9	7	7	7	6	10	8	8
2539	VALLADOLID/VILLANUBLA	VALLADOLID	VILLANUBLA	846	451202	414243	4	4	4	10	5	5	4	3	7	11	22	11	90	13	17	16	19	20	19	20	16	17	15	16	15	203	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	5	6	1	2	0	0	0	1	0	0	5	1	10	26	10	9	12	1	7	8	10	12	9	5	0	1	84	8	2	3	10	4	3	1	3	4	11	14	15	78	0	0	1	2	0	1	5	1	2	1	0	0	13	27	19	12	5	1	0	0	0	0	0	5	14	83	0	0	0	0	0	7	19	17	0	0	0	0	43																											14.9(24)	20.2(26)	20.1(16)	21.9(29)	29.7(31)	38.9(28)	37.4(22)	33.6(03)	29.7(04)	27.3(08)	19.0(01)	15.1(21)	38.9(28/jun)	-6.0(06)	-5.3(03)	-3.7(18)	-4.1(04)	-0.2(04)	2.6(08)	8.4(30)	7.0(12)	6.0(09)	0.9(21)	-2.5(16)	-4.8(31)	-6.0(06/ene)		11	17	17	17	16	15	13	16	12	23	18	
2614	ZAMORA	ZAMORA	ZAMORA	656	544072	413056	4	3	5	13	5	5	2	4	5	11	19	9	85														0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	1	3	6	8	2	2	0	0	0	0	0	0	2	1	10	25																											0	0	0	1	0	0	5	2	0	0	0	0	8	20	12	5	0	0	0	0	0	0	0	2	7	46	0	0	0	0	4	10	25	20	4	0	0	0	63	0	0	0	1	0			0	0	0				0	0	0	0	0			0	0	0				16.9(24)	21.0(26)	23.3(16)	26.3(30)	33.2(31)	39.1(28)	38.7(22)	36.6(24)	32.7(04)	29.9(08)	20.2(01)	15.8(21)	39.1(28/jun)	-5.3(07)	-3.6(04)	-0.7(18)	0.1(04)	3.9(04)	6.1(08)	11.7(28)	9.9(13)	8.4(28)	4.3(22)	-1.0(19)	-2.5(29)	-5.3(07/ene)	5	5	8	8	9	8	8	7	9	6	8	7	7
9390	DAROCA_I	ZARAGOZA	DAROCA	779	124362	410652	7	1	6	17	9	6	9	6	10	6	20			13	10	15	15	19		22	14	16	22	23	21	190	1	3	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	2	0	0	0	0			0	1	0	1	0	0	0	0	0	1	0			14	18	15	5	7		9	16	9	5	1	4		4	0	1	10	5		0	1	5	4	6	6		0	0	0	3	5	0	9	3	5	0	2			23	21	17	2	1	0	0	0	0	0	3	12	79	0	0	0	0	0	15	24	21	5	1	0	0	66	2	2	1	2	3				0		6			0	0	0	0	0				0		0			14.8(01)	23.5(27)	25.2(16)	23.9(15)	29.2(31)	40.7(29)	37.8(12)	37.0(04)	32.1(30)	30.1(08)	21.2(01)	18.2(25)	40.7(29/jun)	-7.4(04)	-4.0(17)	-3.8(21)	-2.7(04)	-1.2(06)	2.3(12)	10.1(28)	9.3(14)	5.7(07)	3.9(26)	-3.4(19)	-6.0(28)	-7.4(04/ene)	6	5	6	7	8	7	7	7	6	5	8	7	7
9434	ZARAGOZA/AEROPUERTO	ZARAGOZA	ZARAGOZA	249	100152	413938	10	3	4	13	7	7	9	4	7	10	21	11	106	18	15	18	14	18	22	20	13	19	22	20	14	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	1	0	0	0	0	0	2	3	7	17	8	11	11	4	9	6	11	16	9	5	0	5	95	5	2	2	12	4	2	0	2	2	4	10	12	57	0	0	0	3	3	1	7	1	2	1	0	0	18	5	2	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	2	18	27	25	10	0	0	0	82	20	7	10							4	13			0	0	0							0	1			16.4(31)	25.5(27)	25.0(16)	26.1(30)	30.8(15)	43.2(29)	40.9(23)	39.9(09)	32.2(29)	29.3(08)	25.1(01)	19.3(20)	43.2(29/jun)	-4.9(05)	-0.5(16)	1.7(22)	1.8(04)	6.3(06)	8.0(12)	15.8(29)	15.4(14)	12.7(09)	9.1(25)	1.8(20)	0.0(28)	-4.9(05/ene)	25	15	18	18	25	18	18	15	17	13	19	14	18
9434	ZARAGOZA/AEROPUERTO	ZARAGOZA	ZARAGOZA	249	100152	413938																																																																																																																																																																																																			
